ID;A¥O PRESENTACION;CONCEPTO_IMPUESTO;ESTRATO;No CONTRIBUYENTES;VALOR APORTE VOLUNTARIO
1;2006;PREDIAL;0;1622;95410400
2;2006;PREDIAL;1;1095;3049000
3;2006;PREDIAL;2;7112;34376000
4;2006;PREDIAL;3;7530;119270150
5;2006;PREDIAL;4;3833;109590300
6;2006;PREDIAL;5;1364;69470000
7;2006;PREDIAL;6;1364;127297000
8;2007;PREDIAL;0;1495;86845600
9;2007;PREDIAL;1;1239;3948000
10;2007;PREDIAL;2;7006;37979000
11;2007;PREDIAL;3;6113;109659600
12;2007;PREDIAL;4;2843;92039728
13;2007;PREDIAL;5;869;51707000
14;2007;PREDIAL;6;914;125768240
15;2008;PREDIAL;0;1271;78080700
16;2008;PREDIAL;1;759;2738000
17;2008;PREDIAL;2;5603;30975400
18;2008;PREDIAL;3;5443;102056700
19;2008;PREDIAL;4;2647;90513000
20;2008;PREDIAL;5;826;48921000
21;2008;PREDIAL;6;846;90922000
22;2009;PREDIAL;0;862;53259200
23;2009;PREDIAL;1;665;2070000
24;2009;PREDIAL;2;3642;20613100
25;2009;PREDIAL;3;3249;59626076
26;2009;PREDIAL;4;1559;49181927
27;2009;PREDIAL;5;441;25115400
28;2009;PREDIAL;6;477;50802000
29;2010;PREDIAL;0;870;72324200
30;2010;PREDIAL;1;678;2462000
31;2010;PREDIAL;2;3546;22383000
32;2010;PREDIAL;3;3354;64133000
33;2010;PREDIAL;4;1738;62133000
34;2010;PREDIAL;5;537;30197000
35;2010;PREDIAL;6;524;52857600
36;2011;PREDIAL;0;646;35185000
37;2011;PREDIAL;1;747;3033000
38;2011;PREDIAL;2;3525;24332000
39;2011;PREDIAL;3;2591;52590000
40;2011;PREDIAL;4;1309;44814000
41;2011;PREDIAL;5;418;26152000
42;2011;PREDIAL;6;311;33901000
43;2012;PREDIAL;0;533;41292000
44;2012;PREDIAL;1;534;2291000
45;2012;PREDIAL;2;2010;15900000
46;2012;PREDIAL;3;1687;39705000
47;2012;PREDIAL;4;854;34388000
48;2012;PREDIAL;5;270;15154000
49;2012;PREDIAL;6;199;22849000
50;2013;PREDIAL;0;509;37676000
51;2013;PREDIAL;1;520;2168000
52;2013;PREDIAL;2;2154;19213999
53;2013;PREDIAL;3;1618;36815000
54;2013;PREDIAL;4;855;34895000
55;2013;PREDIAL;5;218;14386000
56;2013;PREDIAL;6;188;28629000
57;2014;PREDIAL;0;405;55268000
58;2014;PREDIAL;1;509;2298000
59;2014;PREDIAL;2;1992;18336000
60;2014;PREDIAL;3;1400;33037000
61;2014;PREDIAL;4;712;33816000
62;2014;PREDIAL;5;209;15937000
63;2014;PREDIAL;6;167;30048000
64;2015;PREDIAL;0;369;37783000
65;2015;PREDIAL;1;486;2204000
66;2015;PREDIAL;2;1937;18182000
67;2015;PREDIAL;3;1349;37856000
68;2015;PREDIAL;4;667;35269000
69;2015;PREDIAL;5;170;17296000
70;2015;PREDIAL;6;155;38611000
71;2016;PREDIAL;0;510;87602000
72;2016;PREDIAL;1;542;3179000
73;2016;PREDIAL;2;2664;28182000
74;2016;PREDIAL;3;1885;65128000
75;2016;PREDIAL;4;1306;86734000
76;2016;PREDIAL;5;400;50973000
77;2016;PREDIAL;6;342;88566000
78;2017;PREDIAL;0;409;170839000
79;2017;PREDIAL;1;1293;7619000
80;2017;PREDIAL;2;5119;41318000
81;2017;PREDIAL;3;1827;68521000
82;2017;PREDIAL;4;922;77408000
83;2017;PREDIAL;5;311;51022000
84;2017;PREDIAL;6;307;112333000
85;2018;PREDIAL;0;1909;155935000
86;2018;PREDIAL;1;792;4569000
87;2018;PREDIAL;2;3370;29859000
88;2018;PREDIAL;3;1230;56702000
89;2018;PREDIAL;4;456;64360000
90;2018;PREDIAL;5;145;41630000
91;2018;PREDIAL;6;148;88560000
